date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-01,92836.22658190639,1879.3012978196546,1499.1292547376509,427,309,98,164,83,31,0,0,0,0
2020-03-02,92965.72646381623,1628.6291366474934,3119.129254737651,501,696,408,251,208,87,0,0,0,0
2020-03-03,92290.22634572607,2443.6291366474934,3011.7959214043176,541,230,338,227,242,101,0,0,0,0
2020-03-04,91951.72622763591,2673.29580331416,2389.6691965038312,655,236,297,207,192,89,6,0,0,0
2020-03-05,91895.98962495192,2333.932593819836,3058.580961209713,647,566,263,314,314,144,3,0,0,0
2020-03-06,91605.01772815027,2767.6090644080714,3012.580961209713,836,525,237,272,256,140,10,0,0,0
2020-03-07,91761.04583134863,3168.6090644080714,1252.5809612097135,539,171,114,97,82,27,4,0,0,0
2020-03-08,92322.07393454699,1813.6090644080712,1499.0809612097135,495,359,105,135,130,40,3,0,0,0
2020-03-09,92427.66870441202,1604.675731074738,3229.041552342718,575,795,491,228,272,155,20,0,0,0
2020-03-10,91876.13046935093,2677.5033172816343,2897.060783111949,726,303,507,209,311,153,18,0,0,0
2020-03-11,91762.2405859382,2783.170899699217,3126.060783111949,797,377,410,331,347,164,17,0,0,0
2020-03-12,91399.68403585881,2763.50423303255,2742.160783111949,728,422,279,282,279,175,17,0,0,0
2020-03-13,91277.3274857794,2619.80423303255,2985.9335103846765,751,494,279,311,330,169,23,0,0,0
2020-03-14,90962.19820842727,2670.80423303255,1249.9335103846763,497,185,84,92,97,45,5,0,0,0
2020-03-15,91384.73559774182,1672.470899699217,1303.227247444718,425,272,75,121,119,40,9,0,0,0
2020-03-16,91639.15439952472,1557.6460492276274,3840.2272474447177,564,876,610,404,432,215,28,0,0,0
2020-03-17,89606.57320130763,1807.6460492276274,3480.392464836022,549,312,646,494,380,297,59,0,0,0
2020-03-18,87750.62678569923,1624.4460492276273,3066.557730942465,505,321,456,361,461,219,40,0,0,0
2020-03-19,86149.06832527292,1464.9992705161426,2987.557730942465,446,302,286,394,470,261,48,0,0,0
2020-03-20,84472.5098648466,1310.9992705161426,2746.057730942465,490,247,245,401,459,215,40,0,0,0
2020-03-21,82898.78473775361,1172.332603849476,857.5577309424648,266,89,53,93,99,52,6,0,0,0
